取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
long,2010-05-20,870.0,100,852,2010-05-20,852,-1800.0,-1.0,-2.0689655172413794,1
long,2010-05-21,835.0,100,817,2010-05-25,805.0,-3000.0,-1.6666666666666667,-3.592814371257485,3
short,2010-06-24,805.0,100,819,2010-06-25,810.0,-500.0,-0.35714285714285715,-0.6211180124223602,2
long,2011-03-15,725.0,100,709,2011-03-15,709,-1600.0,-1.0,-2.206896551724138,1
long,2011-08-10,750.0,100,731,2011-08-11,730.0,-2000.0,-1.0526315789473684,-2.666666666666667,2
long,2011-08-12,750.0,100,732,2011-08-25,725.0,-2500.0,-1.3888888888888888,-3.3333333333333335,7
