取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
short,2010-05-31,1100.0,100,1124,2010-06-10,1060.0,4000.0,1.6666666666666667,3.6363636363636362,3
long,2010-09-08,970.0,100,949,2010-09-24,1010.0,4000.0,1.9047619047619047,4.123711340206185,8
long,2011-05-26,980.0,100,929,2011-06-24,1050.0,7000.0,1.3725490196078431,7.142857142857142,9
