取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
short,2010-11-02,320.0,100,328,2010-11-02,328,-800.0,-1.0,-2.5,1
short,2010-11-05,352.0,100,361,2010-11-11,360,-800.0,-0.8888888888888888,-2.272727272727273,3
short,2010-11-15,370.0,100,380,2010-11-15,380,-1000.0,-1.0,-2.7027027027027026,1
short,2010-11-22,354.0,100,367,2010-11-22,367,-1300.0,-1.0,-3.672316384180791,1
short,2010-11-25,338.0,100,352,2010-11-26,350.0,-1200.0,-0.8571428571428571,-3.5502958579881656,2
long,2011-02-04,343.0,100,331,2011-02-08,360.0,1700.0,1.4166666666666667,4.956268221574344,3
short,2011-05-27,361.0,100,370,2011-06-30,350.0,1100.0,1.2222222222222223,3.0470914127423825,13
