取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
short,2010-04-05,1155.0,100,1178,2010-04-05,1178,-2300.0,-1.0,-1.9913419913419914,1
long,2010-05-24,1200.0,100,1153,2010-05-31,1275.0,7500.0,1.5957446808510638,6.25,6
long,2010-07-01,1215.0,100,1186,2010-07-09,1250.0,3500.0,1.206896551724138,2.880658436213992,7
short,2010-09-15,1165.0,100,1190.0,2010-09-21,1140.0,2500.0,1.0,2.1459227467811157,4
short,2011-04-22,1585.0,100,1644,2011-04-25,1535.0,5000.0,0.847457627118644,3.1545741324921135,2
short,2011-05-06,1660.0,100,1714.0,2011-05-09,1714.0,-5400.0,-1.0,-3.2530120481927707,2
short,2011-05-10,1645.0,100,1703.0,2011-05-12,1550.0,9500.0,1.6379310344827587,5.775075987841945,3
long,2011-05-23,1465.0,100,1402,2011-05-27,1408,-5700.0,-0.9047619047619048,-3.8907849829351533,5
short,2011-07-04,1450.0,100,1495,2011-07-04,1495,-4500.0,-1.0,-3.103448275862069,1
short,2011-07-05,1470.0,100,1516,2011-07-07,1415.0,5500.0,1.1956521739130435,3.741496598639456,3
