取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
short,2011-03-15,5540.0,100,5660,2011-04-15,5150.0,39000.0,3.25,7.039711191335741,3
short,2011-07-28,5100.0,100,5240,2011-08-03,5100.0,0.0,0.0,0.0,2
