取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
short,2010-11-30,2140.0,100,2219,2010-12-01,2050.0,9000.0,1.139240506329114,4.205607476635514,2
short,2011-01-04,2110.0,100,2163.0,2011-01-04,2163.0,-5300.0,-1.0,-2.5118483412322274,1
long,2011-02-16,2810.0,100,2653,2011-02-16,2653,-15700.0,-1.0,-5.587188612099644,1
long,2011-02-17,2880.0,100,2715,2011-02-23,3230.0,35000.0,2.121212121212121,12.152777777777777,5
long,2011-03-04,3010.0,100,2827,2011-03-09,3070.0,6000.0,0.32786885245901637,1.9933554817275747,3
short,2011-06-01,2800.0,100,2873,2011-06-01,2873,-7300.0,-1.0,-2.607142857142857,1
short,2011-06-03,2750.0,100,2842,2011-06-07,2836.0,-8600.0,-0.9347826086956522,-3.127272727272727,3
long,2011-07-01,2600.0,100,2514,2011-07-04,2620.0,2000.0,0.23255813953488372,0.7692307692307693,2
