取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
long,2010-04-23,320.0,100,310,2010-04-26,310.0,-1000.0,-1.0,-3.125,2
long,2010-12-29,310.0,100,300,2011-01-07,395.0,8500.0,8.5,27.419354838709676,6
long,2011-03-15,370.0,100,356,2011-03-15,356,-1400.0,-1.0,-3.783783783783784,1
long,2011-03-16,400.0,100,385,2011-03-18,435.0,3500.0,2.3333333333333335,8.75,3
long,2011-04-26,450.0,100,423,2011-05-11,480.0,3000.0,1.1111111111111112,6.666666666666667,7
short,2011-06-01,490.0,100,505,2011-06-02,490.0,0.0,0.0,0.0,2
