取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
long,2010-07-02,157.0,100,144,2010-07-08,150.0,-700.0,-0.5384615384615384,-4.45859872611465,2
short,2011-01-25,109.0,100,113,2011-01-26,112.5,-350.0,-0.875,-3.211009174311927,2
short,2011-04-25,71.5,100,75,2011-04-26,75,-350.0,-1.0,-4.895104895104895,2
short,2011-04-27,74.95,100,78,2011-04-27,78,-304.9999999999997,-1.0,-4.069379586390923,1
short,2011-04-28,80.0,100,83,2011-05-25,68.05,1195.0000000000002,3.9833333333333343,14.937500000000004,11
long,2011-05-31,68.95,100,64,2011-06-02,73.0,404.9999999999997,0.8181818181818171,5.8738216098622145,2
