取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
long,2011-01-05,192.0,100,186,2011-01-13,184.0,-800.0,-1.3333333333333333,-4.166666666666666,2
long,2011-01-14,180.5,100,175,2011-03-18,173.0,-750.0,-1.3636363636363635,-4.1551246537396125,7
long,2011-03-22,173.5,100,168,2011-03-30,149.5,-2400.0,-4.363636363636363,-13.8328530259366,5
short,2011-05-19,153.0,100,157,2011-06-02,157.0,-400.0,-1.0,-2.6143790849673203,8
short,2011-06-09,153.0,100,155,2011-06-13,157.0,-400.0,-2.0,-2.6143790849673203,2
short,2011-06-15,172.0,100,175,2011-06-22,175,-300.0,-1.0,-1.744186046511628,4
short,2011-06-23,175.5,100,179,2011-07-04,178.0,-250.0,-0.7142857142857143,-1.4245014245014245,4
long,2011-08-10,155.0,100,151,2011-08-11,159.0,400.0,1.0,2.5806451612903225,2
long,2011-08-17,163.0,100,157,2011-08-29,156.5,-650.0,-1.0833333333333333,-3.9877300613496933,3
