取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
long,2010-04-15,80.0,100,70,2010-04-19,71,-900.0,-0.9,-11.25,3
long,2010-04-20,72.5,100,64,2010-05-06,85.0,1250.0,1.4705882352941178,17.24137931034483,9
long,2010-05-10,67.0,100,58,2010-05-17,59,-800.0,-0.8888888888888888,-11.940298507462686,6
long,2010-05-18,57.0,100,48,2010-06-03,56.5,-50.0,-0.05555555555555555,-0.8771929824561403,13
short,2010-07-16,55.0,100,59,2010-07-21,50.0,500.0,1.25,9.090909090909092,3
short,2010-11-15,53.25,100,56,2010-11-16,50.25,300.0,1.0909090909090908,5.633802816901409,2
long,2011-02-14,63.4,100,55,2011-02-15,55,-839.9999999999999,-1.0,-13.249211356466875,2
long,2011-02-16,57.800000000000004,100,49,2011-03-07,63.9,609.9999999999994,0.6931818181818172,10.553633217993069,14
short,2011-04-19,55.050000000000004,100,59,2011-04-20,58.2,-314.9999999999999,-0.7974683544303802,-5.7220708446866455,2
short,2011-05-06,60.0,100,63,2011-05-12,63,-300.0,-1.0,-5.0,5
short,2011-05-13,59.0,100,62,2011-05-17,55.0,400.0,1.3333333333333333,6.779661016949152,3
long,2011-06-06,56.0,100,52,2011-06-15,55.5,-50.0,-0.125,-0.8928571428571428,3
long,2011-06-22,55.0,100,51,2011-06-24,52.300000000000004,-269.99999999999955,-0.6749999999999989,-4.909090909090901,2
