取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
short,2010-03-31,210.0,100,213,2010-04-01,213,-300.0,-1.0,-1.4285714285714286,2
short,2010-04-02,215.0,100,218,2010-04-05,220.0,-500.0,-1.6666666666666667,-2.3255813953488373,2
short,2010-04-06,225.0,100,228,2010-04-12,228,-300.0,-1.0,-1.3333333333333335,5
long,2010-04-28,205.0,100,201,2010-04-30,201,-400.0,-1.0,-1.951219512195122,2
long,2010-05-06,194.0,100,190,2010-05-07,190.0,-400.0,-1.0,-2.0618556701030926,2
long,2010-05-10,200.0,100,195,2010-05-10,195,-500.0,-1.0,-2.5,1
long,2010-05-19,190.0,100,185,2010-05-31,181.0,-900.0,-1.8,-4.736842105263158,6
short,2010-06-21,177.0,100,182,2010-06-23,175.0,200.0,0.4,1.1299435028248588,2
short,2010-07-08,190.0,100,196,2010-07-16,200.0,-1000.0,-1.6666666666666667,-5.263157894736842,4
short,2010-07-20,190.0,100,196,2010-07-21,200.0,-1000.0,-1.6666666666666667,-5.263157894736842,2
short,2010-07-22,190.0,100,197,2010-07-23,189.0,100.0,0.14285714285714285,0.5263157894736842,2
long,2011-05-13,195.0,100,183,2011-05-16,196.0,100.0,0.08333333333333333,0.5128205128205128,2
long,2011-05-20,184.0,100,176,2011-05-26,190.0,600.0,0.75,3.260869565217391,4
