取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
short,2010-04-01,460.0,100,493.0,2010-04-09,460.0,0.0,0.0,0.0,5
long,2010-05-21,370.0,100,343,2010-06-14,480.0,11000.0,4.074074074074074,29.72972972972973,9
short,2010-06-18,440.0,100,472.0,2010-06-22,410.0,3000.0,0.9375,6.8181818181818175,3
short,2010-07-02,400.0,100,430.0,2010-07-05,430.0,-3000.0,-1.0,-7.5,2
long,2010-09-09,350.0,100,327,2010-09-14,400.0,5000.0,2.1739130434782608,14.285714285714285,4
short,2010-11-15,440.0,100,464.0,2010-11-19,350.0,9000.0,3.75,20.454545454545457,3
short,2010-11-22,380.0,100,409,2010-12-06,380.0,0.0,0.0,0.0,10
short,2010-12-14,390.0,100,417,2010-12-24,380.0,1000.0,0.37037037037037035,2.564102564102564,7
long,2011-05-30,520.0,100,488,2011-05-31,490.0,-3000.0,-0.9375,-5.769230769230769,2
long,2011-06-10,490.0,100,456,2011-06-13,540.0,5000.0,1.4705882352941178,10.204081632653061,2
long,2011-07-04,500.0,100,466,2011-07-07,510.0,1000.0,0.29411764705882354,2.0,3
