取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
long,2010-04-22,103.0,100,93,2010-04-26,115.0,1200.0,1.2,11.650485436893204,3
long,2010-06-30,125.0,100,119,2010-07-01,130.0,500.0,0.8333333333333334,4.0,2
long,2010-07-21,115.0,100,108,2010-08-10,96.5,-1850.0,-2.642857142857143,-16.08695652173913,7
long,2011-01-31,195.0,100,184,2011-02-07,175.0,-2000.0,-1.8181818181818181,-10.256410256410255,3
long,2011-02-08,179.0,100,168,2011-02-16,244.0,6500.0,5.909090909090909,36.312849162011176,5
long,2011-05-02,270.0,100,246,2011-05-13,250.1,-1990.0000000000005,-0.8291666666666669,-7.370370370370373,5
long,2011-05-25,250.0,100,231,2011-06-20,225.0,-2500.0,-1.3157894736842106,-10.0,8
long,2011-06-21,230.0,100,216,2011-06-27,330.0,10000.0,7.142857142857143,43.47826086956522,3
long,2011-08-03,300.0,100,276,2011-08-17,290.0,-1000.0,-0.4166666666666667,-3.3333333333333335,3
