取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
long,2010-05-31,122.0,100,115,2010-06-01,129.0,700.0,1.0,5.737704918032787,2
long,2010-08-26,110.0,100,106,2010-08-31,105.0,-500.0,-1.25,-4.545454545454546,3
short,2010-10-27,115.0,100,119,2010-10-28,111.0,400.0,1.0,3.4782608695652173,2
long,2011-03-17,111.0,100,105,2011-03-23,140.0,2900.0,4.833333333333333,26.126126126126124,4
long,2011-03-29,133.0,100,125,2011-03-30,126.0,-700.0,-0.875,-5.263157894736842,2
short,2011-04-19,136.0,100,145,2011-04-25,136.0,0.0,0.0,0.0,3
long,2011-05-31,119.0,100,117,2011-06-09,116.0,-300.0,-1.5,-2.5210084033613445,5
short,2011-06-24,127.0,100,129,2011-06-29,128.0,-100.0,-0.5,-0.7874015748031495,4
short,2011-07-01,127.0,100,130,2011-07-04,130.0,-300.0,-1.0,-2.3622047244094486,2
short,2011-07-05,137.0,100,140,2011-07-14,129.0,800.0,2.6666666666666665,5.839416058394161,4
