取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
short,2010-07-13,700.0,100,721,2010-07-14,690.0,1000.0,0.47619047619047616,1.4285714285714286,2
short,2010-08-04,770.0,100,798.0,2010-08-24,640.0,13000.0,4.642857142857143,16.883116883116884,4
short,2010-10-01,740.0,100,780,2010-10-19,630.0,11000.0,2.75,14.864864864864865,3
short,2011-02-17,650.0,100,669,2011-02-18,670.0,-2000.0,-1.0526315789473684,-3.076923076923077,2
short,2011-03-02,690.0,100,707,2011-03-03,780.0,-9000.0,-5.294117647058823,-13.043478260869565,2
