取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
long,2010-05-18,1520.0,100,1475,2010-05-21,1560.0,4000.0,0.8888888888888888,2.631578947368421,3
long,2011-03-15,1500.0,100,1451,2011-03-16,1451,-4900.0,-1.0,-3.266666666666666,2
