取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
short,2010-03-23,338.0,100,350,2010-03-25,350,-1200.0,-1.0,-3.5502958579881656,3
long,2010-06-03,410.0,100,383,2010-06-07,410.0,0.0,0.0,0.0,2
long,2010-06-11,390.0,100,364,2010-06-28,361.5,-2850.0,-1.0961538461538463,-7.307692307692308,10
short,2010-09-13,341.0,100,353,2010-09-15,323.0,1800.0,1.5,5.278592375366569,3
short,2010-11-16,317.0,100,336,2010-11-17,302.5,1450.0,0.7631578947368421,4.574132492113565,2
long,2011-01-26,393.0,100,374,2011-01-28,390.0,-300.0,-0.15789473684210525,-0.7633587786259541,3
long,2011-02-01,395.0,100,380,2011-02-04,397.0,200.0,0.13333333333333333,0.5063291139240507,4
short,2011-04-14,311.0,100,337,2011-04-21,332,-2100.0,-0.8076923076923077,-6.752411575562702,3
short,2011-04-22,360.0,100,380,2011-04-25,331.0,2900.0,1.45,8.055555555555555,2
short,2011-05-06,364.5,100,381,2011-05-13,331.5,3300.0,2.0,9.053497942386832,6
short,2011-05-19,341.0,100,359,2011-05-20,347.0,-600.0,-0.3333333333333333,-1.7595307917888565,2
