取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
long,2010-05-11,300.9,100,282,2010-05-12,300.9,0.0,0.0,0.0,2
long,2010-05-20,296.26920634920634,100,280,2010-05-25,305.53,926.079365079363,0.5692222135497961,3.12580364490467,4
long,2010-08-12,330.9941422594142,100,314,2010-08-16,370.34,3934.5857740585757,2.3152599960606657,11.887176453336968,3
short,2010-11-15,365.71,100,377,2010-11-19,333.3094910591472,3240.0508940852774,2.8698413588000635,8.859617987162718,3
short,2011-04-13,309.24,100,321,2011-04-18,292.57,1667.0000000000016,1.4175170068027236,5.390635105419744,4
short,2011-05-13,322.1982857142857,100,333,2011-06-07,337.9378571428571,-1573.9571428571423,-1.4571364333703625,-4.885057471264367,14
