取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
long,2010-05-17,320.0,100,299,2010-05-21,300.0,-2000.0,-0.9523809523809523,-6.25,4
long,2010-05-24,290.0,100,274,2010-06-02,310.0,2000.0,1.25,6.896551724137931,7
short,2010-09-01,250.0,100,258,2010-09-02,250.0,0.0,0.0,0.0,2
short,2010-11-22,210.0,100,223.0,2010-11-22,223.0,-1300.0,-1.0,-6.190476190476191,1
short,2010-11-24,250.0,100,265,2010-12-01,250.0,0.0,0.0,0.0,6
short,2010-12-03,260.0,100,275.0,2010-12-06,275.0,-1500.0,-1.0,-5.769230769230769,2
long,2011-03-15,340.0,100,322,2011-03-15,322,-1800.0,-1.0,-5.294117647058823,1
long,2011-03-17,320.0,100,297,2011-03-24,540.0,22000.0,9.565217391304348,68.75,5
long,2011-04-18,490.0,100,416,2011-04-19,550.0,6000.0,0.8108108108108109,12.244897959183673,2
long,2011-04-22,490.0,100,416,2011-04-26,500.0,1000.0,0.13513513513513514,2.0408163265306123,3
